a4088dba;SKU-1768906751033;GERAL;ENTRADA;2026-01-20T10:59:11.044428400Z;5;
0ee7fe1e;SKU-TEST2;GERAL;ENTRADA;2026-01-20T11:07:19.162109700Z;5;
ebcab7bd;SKU-1768931458102;GERAL;ENTRADA;2026-01-20T17:50:58.107462100Z;5;
8e96046d;SKU-1768931458102;GERAL;AJUSTE;2026-01-20T17:50:58.111466100Z;1;
1d106ed7;SKU-VAL-1;GERAL;ENTRADA;2026-01-20T17:51:06.075586200Z;10;
87f34db1;SKU-VAL-1;GERAL;AJUSTE;2026-01-20T17:51:06.076594500Z;1;
975641a0;SKU-UC1;GERAL;ENTRADA;2026-01-21T11:59:12.917644300Z;20;
738a06d1;SKU-UC1;GERAL;AJUSTE;2026-01-21T11:59:12.925173200Z;2;
d419871c;SKU-UC1;GERAL;SAIDA;2026-01-21T11:59:13.517919900Z;2;8f456712
b452843a;SKU-1769597331711;GERAL;ENTRADA;2026-01-28T10:48:51.716941800Z;5;
7f1a6ab2;SKU-1769597331711;GERAL;AJUSTE;2026-01-28T10:48:51.719954500Z;1;
5014c90f;SKU-UC-1769597332186;GERAL;ENTRADA;2026-01-28T10:48:52.191491800Z;10;
