9a75df29;STOCK;Stock baixo para SKU-TEST2 (5);2026-01-20T11:07:19.247205400Z;ENVIADA
0a7afdcd;OT;OT criada: dfa607d7;2026-01-20T17:50:58.100937600Z;ENVIADA
2a63e207;OT;OT criada: 014ef020;2026-01-20T17:50:58.110462700Z;ENVIADA
f3d051e1;OT;OT criada: e76545c2;2026-01-20T17:51:06.086666900Z;ENVIADA
4c18de8c;STOCK;Stock baixo para SKU-TEST2 (5);2026-01-20T17:51:06.127008700Z;ENVIADA
9041f38a;OT;OT criada: 8f456712;2026-01-21T11:59:12.968174200Z;ENVIADA
beb0b022;STOCK;Stock baixo para SKU-TEST2 (5);2026-01-21T11:59:13.870090200Z;ENVIADA
db128216;SLA;OT SLA excedido: 014ef020;2026-01-21T11:59:13.870090200Z;ENVIADA
fbc88e22;OT;OT criada: 768b125f;2026-01-21T11:59:42.628475400Z;ENVIADA
95b52208;ESTADO_OT;OT 768b125f passou para ATRIBUIDA;2026-01-21T11:59:54.588541Z;ENVIADA
e6e5fb45;OT;OT criada: 059204de;2026-01-21T12:00:01.695304600Z;ENVIADA
fca6259f;OT;OT criada: 483db31b;2026-01-28T10:48:51.710869500Z;ENVIADA
3500fbfd;OT;OT criada: 020e8091;2026-01-28T10:48:51.718952Z;ENVIADA
b858537d;OT;OT criada: a6ae5272;2026-01-28T10:48:52.198815200Z;ENVIADA
594d22f0;ESTADO_OT;OT a6ae5272 passou para ATRIBUIDA;2026-01-28T10:48:52.226746600Z;ENVIADA
1bad4f0e;STOCK;Stock baixo para SKU-TEST2 (5);2026-01-28T10:48:52.303923100Z;ENVIADA
b29bdb96;SLA;OT SLA excedido: 014ef020;2026-01-28T10:48:52.304926800Z;ENVIADA
